"description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","rank"
"45th President of the United States of AmericaÌ†ºÌ∑∫Ì†ºÌ∑∏",36828,46919402,24,45,"https://t.co/OMxB0x7xC5","Donald J. Trump",2009-03-18 13:46:38,FALSE,TRUE,"realDonaldTrump","Washington, DC","en","25073877",82964,FALSE,"http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg",1
"Sen. Bernie Sanders is the longest serving independent in congressional history. Tweets ending in -B are from Bernie, and all others are from a staffer.",18014,7325751,33,2048,"http://t.co/8AS4FI1oge","Bernie Sanders",2009-04-07 13:02:35,FALSE,TRUE,"SenSanders","Vermont/DC","en","29442313",23902,FALSE,"http://pbs.twimg.com/profile_images/794619281271033856/Fs0QQaH7_normal.jpg",2
"Official twitter account of Senator Elizabeth Warren of Massachusetts.",2798,4071969,8,261,"http://t.co/wsbNrrUt","Elizabeth Warren",2012-11-25 15:14:27,FALSE,TRUE,"SenWarren","","en","970207298",13723,FALSE,"http://pbs.twimg.com/profile_images/722044174799777792/bXaodRhx_normal.jpg",3
"Office of the 54th Speaker of the House, Paul Ryan.",13641,3317718,389,267,"https://t.co/VgAmH7pt35","Paul Ryan",2009-01-12 21:31:25,FALSE,TRUE,"SpeakerRyan","Janesville, WI","en","18916432",12792,FALSE,"http://pbs.twimg.com/profile_images/949025012455038976/RHY5aj1F_normal.jpg",4
"U.S. Senator John McCain (R-AZ), Chairman of Senate Armed Services Committee",14080,3136363,91,380,,"John McCain",2009-01-23 13:42:31,FALSE,TRUE,"SenJohnMcCain","Phoenix, AZ / Washington, DC","en","19394188",20332,FALSE,"http://pbs.twimg.com/profile_images/898243253362929664/y1gCTcz1_normal.jpg",5
"Democratic Leader, focused on strengthening America's middle class and creating jobs; mother, grandmother, dark chocolate connoisseur.",6825,1419952,10,324,"http://t.co/wt2ed3XGGr","Nancy Pelosi",2008-08-07 15:35:02,FALSE,TRUE,"NancyPelosi","San Francisco","en","15764644",13100,FALSE,"http://pbs.twimg.com/profile_images/571313158510223360/wnSl3yXF_normal.jpeg",6
"Official account of Senator Chuck Schumer - New York‚Äôs Senator RT‚â†endorsement",12108,1324198,174,26343,"https://t.co/8Vw6E2f47h","Chuck Schumer",2008-11-19 20:10:20,FALSE,TRUE,"SenSchumer","New York, NY","en","17494010",8109,FALSE,"http://pbs.twimg.com/profile_images/940948640855674880/48ycUgvr_normal.jpg",7
"Theo and Henry's mom, U.S. Senator from New York, author of NYT bestseller Off the Sidelines. Pitcher, but sometimes left fielder. Democrat.",15498,1091305,334,505,"https://t.co/qccoyKkdDN","Kirsten Gillibrand",2009-09-07 03:53:24,FALSE,TRUE,"SenGillibrand","New York","en","72198806",7896,FALSE,"http://pbs.twimg.com/profile_images/828637094260121600/VpJGxC8b_normal.jpg",8
"Representing the State of Texas in the United States Senate.",7319,1067422,341,7378,"https://t.co/9HWCyvKunh","Senator Ted Cruz",2013-01-09 18:11:37,FALSE,TRUE,"SenTedCruz","Houston, Texas","en","1074480192",8021,FALSE,"http://pbs.twimg.com/profile_images/762696550124363776/lf5RZxth_normal.jpg",9
"United States Senator from California. On Facebook at: http://t.co/siExqwIu",6256,820627,1,222,"http://t.co/x96JRcShsB","Sen Dianne Feinstein",2012-01-27 23:06:59,FALSE,TRUE,"SenFeinstein","California","en","476256944",4982,FALSE,"http://pbs.twimg.com/profile_images/789490839940661249/t0nTT2sM_normal.jpg",10
